id,Name,Type,Date (UTC),Description,Statement Descriptor,Unit Label,Url,Tax Code
prod_S3C0duzieiuDYY,Duża naklejka,service,2025-04-01 14:17,"Naklejka do 8cm, 25szt.",,,,
prod_S3C0Q72lkTRaUT,Duża naklejka,service,2025-04-01 14:16,"Naklejka do 8cm, 10szt.",,,,
prod_S3BzBUZWaTS2p3,Duża naklejka,service,2025-04-01 14:16,"Naklejka do 8cm, 5szt.",,,,
prod_S3ByvsyiFyLXrc,Średnia naklajka,service,2025-04-01 14:15,"Naklejka do 6cm, 50szt.",,,,
prod_S3By3fc8zZyTTo,Średnia naklejka,service,2025-04-01 14:14,"Naklejka do 6cm, 25szt.",,,,
prod_S3BxSrd91h0AOa,Średnia naklejka,service,2025-04-01 14:13,"Naklejka do 6cm, 10szt.",,,,
prod_S3BwJ2gxW94VJF,Średnia naklejka,service,2025-04-01 14:12,"Naklejka do 6cm, 5szt.",,,,
prod_S3BnzaUYBmseZe,Mała naklejka,service,2025-04-01 14:03,"Naklejka do 3cm, 100szt.",,,,
prod_S3Bm6PVTWf5DjG,Mała naklejka,service,2025-04-01 14:03,"Naklejka do 3cm, 50szt.",,,,
prod_S3BmqkqTOswmBR,Mała naklejka,service,2025-04-01 14:02,"Naklejka do 3cm, 25szt.",,,,
prod_S3BlWpks19D2Wm,Mała naklejka,service,2025-04-01 14:01,"Naklejka do 3cm, 10szt.",,,,
prod_S3BflBzWW5Ewju,Mała naklejka,service,2025-04-01 13:56,"Naklejka do 3cm, 5szt.",,,,
